Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Sort order,Parent Product Category
Application,application,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04eb4,false,false,,,,1,cmc-lifts
Working Height,working-height,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04eb6,false,false,,,,2,cmc-lifts
Lift Carrier Compatible,lift-carrier-compatible,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04eb8,false,false,,,,3,cmc-lifts
Compatible with:,compatible-with,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04eba,false,false,,,,1,lift-carriers
Make,make,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ebc,false,false,,,,2,lift-carriers
Brand,brand,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ec0,false,false,,,,1,trailers
Trailer Type,trailer-type,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ec2,false,false,,,,2,trailers
GVWR,gvwr,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ec4,false,false,,,,3,trailers
Carlton Type,carlton-type,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ec6,false,false,,,,1,carlton
Drive Type,drive-type,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ec8,false,false,,,,2,carlton
Cutting System,cutting-system,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04eca,false,false,,,,3,carlton
Horsepower,horsepower,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ecc,false,false,,,,4,carlton
Capacity,capacity,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ece,false,false,,,,5,carlton
