Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Parent Product Category,Filter Label,Filter Displayed Value,Parent Filter - Carlton ONLY,Sort order
Lift: Application: Arbor,lift-application-arbor,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e4380,false,false,,,,cmc-lifts,application,Arbor,,10
Lift: Application: Utility Vegetation Management,lift-application-utility-vegetation-management,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e4382,false,false,,,,cmc-lifts,application,Utility Vegetation Management,,20
Lift: Application: Contractor & Rental,lift-application-contractor-rental,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e4384,false,false,,,,cmc-lifts,application,Contractor & Rental,,30
Lift: Working Height 40-60 ft,lift-working-height-40-60-ft,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e4386,false,false,,,,cmc-lifts,working-height,40-60 ft,,10
Lift: Working Height 65-85 ft,lift-working-height-65-85-ft,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e4388,false,false,,,,cmc-lifts,working-height,65-85 ft,,20
Lift: Working Height 85-105 ft,lift-working-height-85-105-ft,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e438a,false,false,,,,cmc-lifts,working-height,85-105 ft,,30
Lift: Lift Carrier Compatible Yes,lift-lift-carrier-compatible-yes,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e438c,false,false,,,,cmc-lifts,lift-carrier-compatible,Yes,,10
Lift: Lift Carrier Compatible No,lift-lift-carrier-compatible-no,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e438e,false,false,,,,cmc-lifts,lift-carrier-compatible,No,,20
Lift Carrier: Compatible with 60HD Arbor Pro,lift-carrier-compatible-with-60hd-arbor-pro,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e4390,false,false,,,,lift-carriers,compatible-with,60HD Arbor Pro,,10
Lift Carrier: Compatible with 60HD Contractor Pro,lift-carrier-compatible-with-60hd-contractor-pro,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e4392,false,false,,,,lift-carriers,compatible-with,60HD Contractor Pro,,20
Lift Carrier: Compatible with 72HD Arbor Pro,lift-carrier-compatible-with-72hd-arbor-pro,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e4394,false,false,,,,lift-carriers,compatible-with,72HD Arbor Pro,,30
Lift Carrier: Compatible with 72HD Contractor Pro,lift-carrier-compatible-with-72hd-contractor-pro,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e4396,false,false,,,,lift-carriers,compatible-with,72HD Contractor Pro,,40
Lift Carrier: Compatible with 75i,lift-carrier-compatible-with-75i,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e4398,false,false,,,,lift-carriers,compatible-with,75i,,50
Lift Carrier: Compatible with 90i,lift-carrier-compatible-with-90i,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e439a,false,false,,,,lift-carriers,compatible-with,90i,,60
Lift Carrier: Compatible with 90HD Arbor Pro,lift-carrier-compatible-with-90hd-arbor-pro,6a3a54a122e3cd58a92f5d69,6a2972f1a0b589bcf6edb9da,6a3a6723e52c3347f13e439c,false,false,,,,lift-carriers,compatible-with,90HD Arbor Pro,,70
